음식점_이름,매출_비율,키워드
메가MGC커피 제주동문시장점,상위_50_75,"바코드 결제, 친절한 직원, 시원한 매장, 테이크아웃, 다양한 간편결제"
메가MGC커피 제주일도점,상위_50_75,"커피, 친절, 가성비, 음료, 깨끗함"
메가MGC커피 제주일주서로점,상위_75_90,"맛, 친절, 주차, 분위기, 가성비, 커피"
메가MGC커피 협재해수욕장점,상위_75_90,"사장님, 테이크아웃, 협재해수욕장"
메밀가,하위_10,"맛집, 메밀, 추천"
메밀밭에가시리,상위_75_90,"면발, 메밀, 맛집, 쫄깃함, 직원 친절, 건강한 음식, 단체 손님, 배려"
메종드쁘띠푸르 공항점,상위_50_75,"주차, 빵, 친절, 디저트, 커피, 브런치, 샐러드, 맛있음, 불친절, 가격"
메종드쁘띠푸르 2호점,상위_50_75,"식빵, 수제잼, 부드러운"
메종드 쁘띠푸르 연동점,상위_10,"카페, 커피, 빵, 케이크, 가격, 뷰, 맛, 호텔, 디저트, 접근성"
메종드혁이네in표선,하위_10,"가게 리뷰 가성비, 국물요리, 안주맛집, 다양한 메뉴, 친절한 서비스"
메콩스카이,상위_10_25,"쌀국수, 나시고랭, 반미, 고수, 친절, 이국적인 분위기, 주차, 맛있음"
메타킹커피 제주노형점,하위_10,"청결, 친절, 가성비"
멕시코니,하위_10,"치킨, 칼국수, 모슬포"
멜로우베이킹,상위_75_90,"케이크, 친절, 분위기, 맛집, 애견동반"
멜버즈 서귀포점,하위_10,"직원 불친절, 바다뷰, 커피 맛있음"
면뽑는선생만두빚는아내 제주협재점,상위_10_25,"만두, 수육, 국물"
농부파스타집,상위_25_50,"파스타, 친절, 양 많음"
면주막 제주본점,상위_50_75,"고기국수, 비빔국수, 청결"
협재 면차롱,상위_50_75,"감귤탕수육, 해물짬뽕, 흑돼지짜장면"
명가솥뚜껑 서귀포흑돼지,상위_25_50,"고기, 반찬, 친절"
명가돈촌,상위_25_50,"흑돼지, 소노캄, 친절한 사장님, 픽업 서비스, 반찬 다양성, 맛집, 할인 쿠폰, 냉면, 고기 질, 제주도"
명도암 정담김밥,상위_75_90,"김밥, 맛집, 매콤우엉"
명동춘천닭갈비 5호점,하위_10,"닭갈비, 가성비, 친절한 사장님"
명륜진사갈비 제주외도점,상위_10_25,"고기, 무한리필, 가성비, 친절, 연기"
명물,상위_10,"쥐치조림, 반찬, 친절"
명진전복,상위_10,"전복돌솥밥, 제주도 맛집, 고소한 전복죽"
명천해장국,상위_50_75,"국밥, 해장국, 현지인 맛집"
명태명가 제주점,하위_10,"친절, 명태조림, 점심예약"
명품닭칼국수,상위_50_75,"칼국수, 가성비, 국물"
명품대게회타운,상위_50_75,"맛있음, 친절, 양 많음, 신선함, 위생 문제"
명품전통육개장,상위_50_75,"육개장, 반찬, 고사리"
명희식당,상위_25_50,"사장님, 메뉴, 위생"
모뉴에트,상위_50_75,"까눌레, 힐링카페, 음악, 분위기, 친절"
모니카옛날통닭,상위_25_50,"고추야채치킨, 옛날 양념, 맛집"
모닝해장국 남원점,상위_50_75,"내장탕, 해장국, 친절한 서비스"
모다드렁,상위_75_90,"푸근한 분위기, 불친절, 로컬 맛집"
모다정,상위_50_75,"접짝뼈국, 몸국, 제주 향토음식"
모닥식탁,상위_75_90,"카레, 딱새우, 디저트"
모닥치기본점,상위_50_75,"모닥치기, 가성비, 푸짐한 양"
모닥치기아라,하위_10,"모닥치기, 가성비, 친절, 맛있어요, 김밥, 떡볶이, 국물맛, 재방문의사"
모디카,상위_75_90,"라자냐, 친절한 서비스, 신선한 재료"
모루쿠다 서귀포올레시장점,상위_10,"고등어회, 해물라면, 신선한 재료, 불친절한 서비스, 청결 문제"
모리노카메,상위_25_50,"모리노카메, 오마카세, 제주도"
모메든식당 중문본점,상위_50_75,"고기, 제주도, 가성비"
모살물 2호점,상위_10_25,"고등어회, 갈치회, 가성비, 모듬회, 신선함"
모살물 2호점,상위_10_25,"고등어회, 갈치회, 가성비, 모듬회, 신선함"
모어댄댓,상위_50_75,"크림파스타, 고르곤졸라피자, 뇨끼, 분위기, 가성비"
모음해장국,상위_50_75,"해장국, 순두부, 맛집"
모이세해장국 노형점,상위_25_50,"모이세, 해장국, 친절한 서비스"
모이세해장국모슬포점,상위_50_75,"주차장, 육개장, 해장국, 겉절이, 맛 변동"
모이세해장국 연동점,상위_25_50,"모이세, 해장국, 친절한 서비스"
모이세해장국 조천점,상위_75_90,"해장국, 감자전, 친절함, 제주도, 맛집"
모이자 소주호프,상위_50_75,"호프집, 친절, 맛집, 기본찬, 골뱅이소면, 치킨"
모티프제주 카페앤바,상위_50_75,"커피, 애견동반, 아늑한 분위기, 친절한 서비스, 디저트"
목마가든,하위_10,"말고기, 제주도, 친절한 서비스"
목민,상위_75_90,"양갈비수육, 전골, 친절한 서비스"
목포세발낙지,상위_75_90,"연포탕, 세발낙지, 가격, 신선함, 밑반찬"
묘한식당,상위_50_75,"맛있다, 크림빠네, 불친절"
무슈부부커피스탠드 관덕정,상위_50_75,"에스프레소, 치즈케이크, 카이막"
무스비,하위_10,"분위기, 친절, 맛있어요, 안주, 예약제"
무암돈 연동점,상위_25_50,"고기, 친절, 청결, 반찬, 제주도"
무정해장국,상위_75_90,"해장국, 소머리국밥, 맛집"
무지개맥주 일도본점,상위_50_75,"생맥주, 친절한 서비스, 맛있는 안주"
무지개밥상,상위_75_90,"가성비, 한식뷔페, 바다뷰, 맛집, 종류 다양, 친절한 서비스"
무한조개야,상위_10_25,"가리비, 조개구이, 웨이팅"
무호소반,하위_10,"무호소반, 친절한 서비스, 단호박 식혜"
문게야,상위_50_75,"문어, 게우밥, 서비스, 맛집, 제주도"
문섬횟집,상위_50_75,"회, 친절, 맛집, 반찬, 지리탕"
문세끼,하위_10,"고사리육개장, 접짝뼈국, 비빔국수, 국물, 친절"
문희영해물아구찜,상위_75_90,"아구살, 친절, 비린내, 해물아구찜, 양념소스"
성산물고기자리,상위_50_75,"물고기자리, 가성비, 해산물"
물꼬해녀의집,상위_75_90,"문어라면, 해산물, 위생 상태"
물만난고기,상위_25_50,"가성비, 신선한 회, 친절한 서비스"
물통식당,상위_75_90,"흑돼지, 연탄구이, 친절한 서비스, 반찬, 가성비"
뮌헨호프,상위_75_90,"친절, 안주, 맛집, 사장님, 제주도민"
미루네닭숯불갈비,하위_10,"소금구이, 닭갈비, 친절한 서비스"
미루네닭숯불구이 본점,상위_50_75,"부드러운 닭갈비, 숯불구이, 김치찌개"
미르오메기떡,상위_25_50,"감귤 오메기떡, 무료 배송, 서비스 제공"
미미끄,하위_10,"와인, 가성비, 친절한 서비스"
미복빈대떡,상위_75_90,"깔끔한 내부, 반말 사장님, 맛있는 전"
미쁜제과,상위_10,"미쁜제과, 소금빵, 돌고래뷰, 빵맛, 제주패스"
미소가김밥,상위_75_90,"김밥, 친절, 가성비"
미소담은소,하위_10,"가성비, 맛, 친절"
미소정,상위_25_50,"접짝뼈국, 매운양념갈비찜, 친절한 서비스"
미쇼니분식 노형점,하위_10,"떡볶이, 튀김, 김밥"
미스칠,상위_10,"돔베고기, 갈치조림, 전복솥밥, 가성비, 반찬, 공항근처, 맛집"
미스터스위츠,하위_10,"사장님, 친절, 수제사탕"
미스터킴팝,상위_75_90,"김밥, 가격, 신선함"
미스틱3도,상위_10_25,"야외공간, 디저트, 가족친화적, 정원, 커피, 동물체험, 제주도, 힐링, 분위기"
미쓰고,상위_50_75,"갈치조림, 무한리필, 바다뷰"
미우,상위_10_25,"육전, 매실주, 가성비, 분위기, 신선한 재료, 친절한 서비스"
미정이네 꺼멍돗괴기,상위_25_50,"양념갈비, 고기, 친절"
미진식당,하위_10,"갈치국, 아나고탕, 친절한 서비스, 신선한 재료, 청결한 매장"
미친부엌 바이 제주면소,상위_10,"깔끔, 담백, 정성, 청결, 친절, 육향, 메밀, 평양냉면, 고기, 감칠맛"
미풍해장국 광령점,상위_25_50,"내장탕, 해장국, 제주도"
미향해장국 성산점,상위_50_75,"해장국, 계란말이, 성산, 제주도, 아침식사, 친절한 서비스, 신선한 재료, 주차 편리, 가족식사, 맛집"
미향해장국 표선점,상위_75_90,"맛, 친절, 해장국, 양, 국물, 포장, 청결, 제주도, 추천"
민건이네식당,상위_50_75,"한식뷔페, 신선한 채소, 사장님 손맛"
구좌월정 우럭튀김 민경이네어등포식당,상위_25_50,"우럭튀김, 제주맛집, 술안주"
민박사봉평막국수 제주삼화점,상위_75_90,"곱배기, 돈까스, 막국수"
민준이네,상위_50_75,"두루치기, 낙지볶음, 가성비, 반찬, 친절, 제주도청맛집"
밀밀스,상위_50_75,"친절함, 맛있음, 아늑한 분위기"
밀밭,상위_50_75,"안주, 멜튀김, 서비스, 파전, 부대찌개"
밀팟제주,상위_50_75,"빙수, 수제 팥, 우유 얼음, 가성비, 커피, 서비스, 주차, 인테리어"
바나나에반하다,상위_75_90,"예쁜, 분위기, 인테리어"
협재랜드,상위_75_90,"강사님, 서핑, 스노클링, 안전, 친절, 제주여행, 추억, 재방문, 수중체험, 플라이피쉬"
바다가는길,상위_75_90,"커피, 아이스크림, 가격"
바다길횟집,상위_25_50,"신선한 회, 친절한 직원, 다양한 반찬"
바다나라횟집,상위_25_50,"친절, 물회, 양 많음, 서비스, 맛있음"
바다는김녕,상위_50_75,"카페, 바다, 음료, 소품, 친절, 뷰, 맛, 휴가, 제주, 라면"
바다를본돼지 제주공항점,상위_10,"신선한 재료, 제주흑돼지, 가성비"
바다를본돼지 서귀포올레시장점,상위_10,"고기, 멜젓, 오션뷰, 제주흑돼지, 셀프바"
바다마르마레,상위_50_75,"친절한 서비스, 신선한 재료, 제주도 음식"
협재술집 바다멍,상위_25_50,"시메사바, 리조또, 친절한 직원, 분위기 좋은 술집, 차돌떡볶이"
바다밥상,상위_50_75,"로컬식당, 갈치조림, 신선한 생선, 친절한 서비스, 가족여행"
조각가 해물라면 바다보는날 애월해안도로점,상위_50_75,"해물라면, 바다뷰, 친절한 사장님"
바다사냥횟집,상위_75_90,"물회, 한치회, 친절한 사장님, 로컬 맛집, 매운탕, 해산물, 가격 저렴, 양 많음"
바다사랑그리고추억,상위_50_75,"고기, 김치, 장작불"
바다속고등어쌈밥 제주애월본점,상위_10,"고등어, 김치, 쌈밥, 전복뚝배기, 친절한 서비스"
수선화식당 협재점,상위_10_25,"보말파스타, 흑돼지돈까스, 제주여행, 친절한서비스, 분위기좋음, 예약필수, 맛집, 협재해수욕장"
바당고지 흑돼지다이닝 제주금능협재점,상위_50_75,"고기, 제주흑돼지, 친절함"
바당국수,상위_25_50,"고기국수, 진한 육수, 양 많음"
하비32,상위_25_50,"치아바타, 가성비, 행복한 빵집"
바당모살,상위_75_90,"고등어회, 갈치회, 친절한 서비스"
바당에빠진도새기,상위_25_50,"가성비, 정육식당, 신선한 고기, 해산물, 단체 모임, 광어회, 장아찌, 붕장어탕"
